Series_Title,IMDB_Rating,Released_Year,Overview,Genre,Actors
Toy Story,8.3,1995,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,"Animation, Adventure, Comedy",Tom Hanks Tim Allen Don Rickles Jim Varney
Braveheart,8.3,1995,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,"Biography, Drama, History",Mel Gibson Sophie Marceau Patrick McGoohan Angus Macfadyen
Reservoir Dogs,8.3,1992,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.","Crime, Drama, Thriller",Harvey Keitel Tim Roth Michael Madsen Chris Penn
Full Metal Jacket,8.3,1987,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,"Drama, War",Matthew Modine R. Lee Ermey Vincent D'Onofrio Adam Baldwin
Idi i smotri,8.3,1985,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.","Drama, Thriller, War",Aleksey Kravchenko Olga Mironova Liubomiras Laucevicius Vladas Bagdonas
Aliens,8.3,1986,"Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators.","Action, Adventure, Sci-Fi",Sigourney Weaver Michael Biehn Carrie Henn Paul Reiser
Amadeus,8.3,1984,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was insanely jealous of Mozart's talent and claimed to have murdered him.","Biography, Drama, History",F. Murray Abraham Tom Hulce Elizabeth Berridge Roy Dotrice
Scarface,8.3,1983,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.","Crime, Drama",Al Pacino Michelle Pfeiffer Steven Bauer Mary Elizabeth Mastrantonio
Star Wars: Episode VI - Return of the Jedi,8.3,1983,"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.","Action, Adventure, Fantasy",Mark Hamill Harrison Ford Carrie Fisher Billy Dee Williams
Das Boot,8.3,1981,"The claustrophobic world of a WWII German U-boat; boredom, filth and sheer terror.","Adventure, Drama, Thriller",Jürgen Prochnow Herbert Grönemeyer Klaus Wennemann Hubertus Bengsch
